player_id,player_display_name,position,season,week,season_type,team,receiving_yards,rushing_yards,fantasy_points
00-0023459,Aaron Rodgers,QB,2025,1,REG,PIT,0,3,25.66
00-0023459,Aaron Rodgers,QB,2025,3,REG,PIT,0,1,18.2
00-0041562,Fernando Mendoza,QB,2025,1,REG,LVR,,,0
